gsis_id,full_name,position,age,games_observed,injuries,games_missed,raw_rate,prior_rate,shrunk_rate,expected_missed_per_17,most_common_injury
00-0040888,Adam Randall,RB,22.1,2,1,2,1.0,0.181,0.267,4.5,
00-0041323,Myles Montgomery,RB,23.4,2,1,2,1.0,0.181,0.267,4.5,
00-0040120,Jimmy Holiday,WR,24.7,3,1,2,0.667,0.194,0.265,4.5,
00-0040225,Thomas Fidone II,TE,23.9,19,1,6,0.316,0.211,0.266,4.5,Foot
00-0041047,Chris Brazzell II,WR,22.9,2,1,2,1.0,0.172,0.26,4.4,
00-0036158,J.K. Dobbins,RB,27.7,36,2,11,0.306,0.159,0.259,4.4,Knee
00-0037545,Rashid Shaheed,WR,28.0,37,1,11,0.297,0.171,0.257,4.4,Knee
00-0041029,Jordyn Tyson,WR,22.1,2,1,2,1.0,0.172,0.26,4.4,
00-0039021,Roschon Johnson,RB,25.6,36,2,11,0.306,0.163,0.26,4.4,Concussion
00-0040953,Jeff Caldwell,WR,23.5,2,1,2,1.0,0.172,0.26,4.4,
00-0041446,Kendrick Law,WR,22.2,2,1,2,1.0,0.172,0.26,4.4,
00-0039589,Kameron Johnson,WR,24.5,36,1,10,0.278,0.194,0.251,4.3,Ankle
00-0039164,Anthony Richardson,QB,24.3,36,2,12,0.333,0.088,0.255,4.3,Back
00-0040649,Robbie Ouzts,RB,24.0,19,2,6,0.316,0.181,0.252,4.3,Ankle
00-0037078,Cole Turner,TE,26.5,3,1,2,0.667,0.182,0.255,4.3,
00-0040504,Bryson Nesbit,TE,23.9,1,1,1,1.0,0.211,0.255,4.3,
00-0041239,Chip Trayanum,RB,24.7,2,1,2,1.0,0.163,0.251,4.3,
00-0039824,Jared Wiley,TE,25.8,36,1,10,0.278,0.188,0.249,4.2,Knee
00-0039626,Cole Burgess,WR,26.6,2,1,2,1.0,0.16,0.249,4.2,
00-0039359,Cade Stover,TE,26.2,36,2,10,0.278,0.182,0.247,4.2,Illness
00-0041041,Oscar Delp,TE,23.1,2,1,1,0.5,0.211,0.241,4.1,Hamstring
00-0034837,Calvin Ridley,WR,31.7,36,2,10,0.278,0.156,0.239,4.1,Hamstring
00-0037239,Chris Olave,WR,26.2,36,3,10,0.278,0.16,0.24,4.1,Concussion
00-0040498,Dontae Fleming,WR,24.8,1,1,1,1.0,0.194,0.239,4.1,
00-0039146,Jayden Reed,WR,26.3,36,1,10,0.278,0.16,0.24,4.1,Foot
00-0039710,Jeshaun Jones,WR,26.7,3,1,2,0.667,0.16,0.236,4.0,
00-0040009,Savion Williams,WR,24.8,19,2,5,0.263,0.194,0.23,3.9,Foot
